ἑστάναι VXI-XAN--- ἵστημι
αὐτὰ RD--APN--- αὐτός
κατέπαυον V1I-IAI3P- παύω κατα
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός

Ezek 1:25
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
φωνὴ N1--NSF--- φωνή
ὑπεράνωθεν D--------- ὑπεράνωθεν
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα
τοῦ RA--GSM--- ὁ
ὄντος V9--PAPGSM εἰμί
ὑπὲρ P--------- ὑπέρ
κεφαλῆς N1--GSF--- κεφαλή
αὐτῶν RD--GPN--- αὐτός

Ezek 1:26
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
λίθου N2--GSM--- λίθος
σαπφείρου N2--GSF--- σάπφειρος
ὁμοίωμα N3M-NSN--- ὁμοίωμα
θρόνου N2--GSM--- θρόνος
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ὁμοιώματος N3M-GSN--- ὁμοίωμα
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ὡς C--------- ὡς
εἶδος N3E-NSN--- εἶδος
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἄνωθεν D--------- ἄνωθεν

Ezek 1:27
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ὡς C--------- ὡς
ὄψιν N3I-ASF--- ὄψις
ἠλέκτρου N2N-GSN--- ἠλέκτρον
ἀπὸ P--------- ἀπό
ὁράσεως N3I-GSF--- ὅρασις
ὀσφύος N3U-GSF--- ὀσφύς
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
καὶ C--------- καί
ἀπὸ P--------- ἀπό
ὁράσεως N3I-GSF--- ὅρασις
ὀσφύος N3U-GSF--- ὀσφύς
καὶ C--------- καί
ἕως D--------- ἕως
κάτω D--------- κάτω
εἶδον VBI-AAI1S- ὁράω
ὡς C--------- ὡς
ὅρασιν N3I-ASF--- ὅρασις
πυρὸς N3--GSN--- πῦρ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
φέγγος N3E-ASN--- φέγγος
αὐτοῦ RD--GSM--- αὐτός
κύκλῳ N2--DSM--- κύκλος

Ezek 1:28
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
τόξου N2N-GSN--- τόξον
ὅταν D--------- ὅταν
ᾖ V9--PAS3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νεφέλῃ N1--DSF--- νεφέλη
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὑετοῦ N2--GSM--- ὑετός
οὕτως D--------- οὕτως
ἡ RA--NSF--- ὁ
στάσις N3I-NSF--- στάσις
τοῦ RA--GSN--- ὁ
φέγγους N3E-GSN--- φέγγος
κυκλόθεν D--------- κυκλόθεν
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
ὁμοιώματος N3M-GSN--- ὁμοίωμα
δόξης N1S-GSF--- δόξα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
πίπτω V1--PAI1S- πίπτω
